uuid,observed_on_string,observed_on,time_observed_at,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy
6fd03635-4b0c-46ce-b541-47d6695a3f1b,2018/06/24 2:40 PM PDT,2018-06-24,2018-06-24 21:40:00 UTC,3,0,36.8155874118,-121.8967789698,50
969dc709-e0bc-439d-8a0e-687732f19dc5,2018/06/24 2:41 PM PDT,2018-06-24,2018-06-24 21:41:00 UTC,2,0,36.9267013539,-121.8722027373,50
cb647a52-b522-445a-87f8-0af50ac7cb12,2018/06/29 4:03 PM PDT,2018-06-29,2018-06-29 23:03:00 UTC,2,0,36.9564197881,-121.8358623293,31
dbd6d013-bcb4-48da-b430-041b61dbfd87,Wed May 14 2014 16:06:57 GMT+0200 (GMT+2),2014-05-14,2014-05-14 14:06:57 UTC,6,0,-34.786391235,19.6848632234,9153
180dc383-0f25-4436-a8f9-39b05da0470c,2016/10/22 5:30 PM UTC,2016-10-22,,9,0,29.0525203,-118.2760503,16163
e2fd5d03-bc7b-4142-84e1-fd6bf5938a95,2018/07/10 1:17 PM CDT,2018-07-10,2018-07-10 18:17:00 UTC,4,0,36.976177,-121.936353,
3cc5fc79-94f7-4fef-bf04-a05a3067101f,2018/07/10 1:49 PM CDT,2018-07-10,2018-07-10 18:49:00 UTC,4,0,36.9761415036,-121.934700755,31
21509b88-f321-4255-b8b0-007f8d1ae530,2018/07/10 2:00 PM CDT,2018-07-10,2018-07-10 19:00:00 UTC,5,0,36.9761038654,-121.9355708797,31
bf021bb8-fcdb-4dcd-9f6c-af5625d7c5b3,2011/03/29 7:36 AM EDT,2011-03-29,2011-03-29 11:36:00 UTC,5,0,-34.1373395,18.5824944,236
4db393ff-55b5-4d75-9f67-c164ff38e800,2011/03/29 7:35 AM EDT,2011-03-29,2011-03-29 11:35:00 UTC,4,0,-34.1373395,18.5824944,236
fc093562-637b-499c-8975-b5d44f0c2658,2011/03/29 7:35 AM EDT,2011-03-29,2011-03-29 11:35:00 UTC,3,0,-34.1373395,18.5824944,236
624591bc-c691-473e-8aa3-830678f2a6e2,2011/03/29 7:35 AM EDT,2011-03-29,2011-03-29 11:35:00 UTC,3,0,-34.1373395,18.5824944,236
3cbaf3cd-fe61-4320-b6cd-924e1984f851,2011/03/29 7:36 AM EDT,2011-03-29,2011-03-29 11:36:00 UTC,4,0,-34.1373395,18.5824944,236
0d8dbdfa-f147-4628-aa81-8caa289b2c31,Sun May 06 2018 16:00:53 GMT-0400 (EDT),2018-05-06,2018-05-06 20:00:53 UTC,3,0,-34.0338361667,23.0320945,5
106df3a8-4f64-4287-bb5d-b6c2cb72dce3,Thu Aug 16 2018 09:56:45 GMT-0400 (EDT),2018-08-16,2018-08-16 13:56:45 UTC,7,0,41.797805,-69.931105,6
b7ebb55f-cd98-4670-8bf2-352cdc9a7072,2018-08-16 1:41:40 PM PDT,2018-08-16,2018-08-16 20:41:40 UTC,6,0,36.9633880574,-121.9122030213,8415
b11e84dd-9b3f-474f-9eb9-950f32f500ee,Thu Aug 16 2018 09:55:28 GMT-0400 (EDT),2018-08-16,2018-08-16 13:55:28 UTC,7,0,41.7975583333,-69.9318083333,4
81933de1-26a5-4a4f-86eb-f847248bd8dd,2018/09/13 4:33 PM PDT,2018-09-13,2018-09-13 23:33:00 UTC,3,0,36.9757436219,-121.9257708947,61
a15d1c7a-73fc-4247-b9c5-56b5f6a79dea,2018-09-13 1:30:00 PM EDT,2018-09-13,2018-09-13 17:30:00 UTC,7,0,29.1404313749,-118.2831665128,5577
ed9f304b-afd0-45ce-9bf3-3dbb5ca8d9a5,Sun Sep 16 2018 10:06:25 GMT-0400 (EDT),2018-09-16,2018-09-16 14:06:25 UTC,5,0,41.8545766121,-69.9466590109,769
fdf6d772-a8d6-4b41-ab8f-a7f97d31a067,2018/09/20 11:35 AM AEST,2018-09-20,2018-09-20 01:35:00 UTC,8,0,-34.1389818132,151.1202907562,61
1c5ba6ab-6a8c-44bc-9a7c-08a41d36c4c9,1990/01/01,1990-01-01,,8,0,-35.1030531586,134.2416044529,500000
3ba73b2e-adb8-47dc-9c2d-d42c4a4a9bb9,2018/10/21 12:12 PM CDT,2018-10-21,2018-10-21 17:12:00 UTC,7,0,37.7005941198,-122.9992387099,100
9b0d3fb4-d1fd-4105-a49a-95ef7accd20b,2018/10/25 4:34 PM CDT,2018-10-25,2018-10-25 21:34:00 UTC,5,0,37.6971306392,-122.9989112085,50
6fc85d12-125d-4663-8d62-e35a045e3244,2003/09/18,2003-09-18,,9,0,37.6985723,-123.0022067,678
27d9754e-d00f-415a-9194-3881526064cc,2001-09-25,2001-09-25,,4,0,37.6985723,-123.0022067,678
e9f55d95-13b2-4d77-8fe5-d6392334efc4,2001/09/25,2001-09-25,,6,0,37.6953802597,-123.0058116022,443
c902d2da-9e39-439b-94fb-d777d0b7f1e4,2002/10/10,2002-10-10,,7,0,37.6957878734,-123.0049746682,678
be27f211-d7b4-4b82-b097-132a07bd688d,2018/11/10 6:57 PM +1345,2018-11-10,,3,0,-44.2415707641,-176.22185758,1953
f7ef4e29-dae9-44d2-83c7-2cf573be2887,2004/06/02 10:27 AM CEST,2004-06-02,2004-06-02 08:27:00 UTC,7,0,-34.5816702629,19.350379609,13532
3ad8cb7b-7efb-4c09-adcf-422c16d4a212,2013/06/05 4:34 AM PDT,2013-06-05,2013-06-05 11:34:00 UTC,10,0,-34.568666567,19.2832599205,6881
15dc93e5-83d2-4ae2-80ec-0d584fc8860f,Mon Aug 28 2017 15:26:46 GMT-0600 (GMT-6),2017-08-28,2017-08-28 21:26:46 UTC,9,0,29.1514629931,-118.2449520335,8513
43cfde68-8e44-40ed-a646-19779a9c96a5,2010/06/24 11:42 AM UTC,2010-06-24,,5,0,-34.5878978242,19.2410813727,3906
32dc579f-2acf-4442-a828-b386a6bb8798,2019/01/11 1:41 PM NZDT,2019-01-11,2019-01-11 00:41:00 UTC,10,0,-36.50775,174.3745366667,
dd142b29-9b4a-4984-81c1-9aa17f869b21,2016/07/26 10:50 PM EEST,2016-07-26,2016-07-26 19:50:00 UTC,8,0,37.4510934325,25.3783186003,12151
56aef662-68cb-47e9-92c6-36a13408a261,2017/11/22 2:31 AM EET,2017-11-22,2017-11-22 00:31:00 UTC,8,0,38.3325626432,24.7693591113,305558
cc47685f-ec6a-47c7-a53b-8dd082b1ffeb,2018/08/12 2:57 AM EEST,2018-08-12,2018-08-11 23:57:00 UTC,14,0,40.7588076416,25.5280532669,11133
7b536c02-5167-4311-b4bf-8c011923e3ff,Mon Sep 17 2018 11:35:32 GMT-0500 (CDT),2018-09-17,2018-09-17 16:35:32 UTC,11,0,,,218
bf184492-92ae-4c0b-8e77-4cf6e97a5649,Tue Sep 18 2018 20:48:59 GMT-0500 (CDT),2018-09-18,2018-09-19 01:48:59 UTC,6,0,,,2853
